"u","connectivity","offsets","types","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,3211315,0,0,1,0.193,0.193,0.00030156,0
1,3014712,0,112,1,0.194,0.194,0.00030313,0
1,3014712,0,112,1,0.195,0.195,0.00030469,0
1,3670067,0,245,1,0.196,0.196,0.00030625,0
1,3342380,52713850,210,1,0.197,0.197,0.00030781,0
1,3342380,52713850,210,1,0.198,0.198,0.00030937,0
1,3670067,0,250,1,0.199,0.199,0.00031094,0
1,3473452,110560384,2,1,0.2,0.2,0.0003125,0
1,3473452,110560384,2,1,0.201,0.201,0.00031406,0
1,3407922,110560688,0,1,0.202,0.202,0.00031562,0
1,3342380,0,0,1,0.203,0.203,0.00031719,0
1,3014708,110561040,0,1,0.204,0.204,0.00031875,0
1,3473461,110561264,0,1,0.205,0.205,0.00032031,0
1,3276846,0,0,1,0.206,0.206,0.00032188,0
1,2883636,110561616,240,1,0.207,0.207,0.00032344,0
1,3407916,110562000,240,1,0.208,0.208,0.000325,0
1,3407916,110562000,240,1,0.209,0.209,0.00032656,0
1,2883639,4294967295,0,1,0.21,0.21,0.00032812,0
1,3538990,0,0,1,0.211,0.211,0.00032969,0
1,3538990,0,0,1,0.212,0.212,0.00033125,0
1,2883634,1953654134,39,1,0.213,0.213,0.00033281,0
1,3342386,825373535,0,1,0.214,0.214,0.00033438,0
1,3538990,529,0,1,0.215,0.215,0.00033594,0
1,7536672,207889232,5,1,0.216,0.216,0.0003375,0
1,7929972,0,0,1,0.217,0.217,0.00033906,0
1,6619244,182364736,0,1,0.218,0.218,0.00034063,0
1,6881382,0,0,1,0.219,0.219,0.00034219,0
1,7077996,0,218,1,0.22,0.22,0.00034375,0
1,2293818,0,203,1,0.221,0.221,0.00034531,0
1,3670071,0,13,1,0.222,0.222,0.00034687,0
1,3670071,0,13,1,0.223,0.223,0.00034844,0
1,3080226,0,0,1,0.224,0.224,0.00035,0
1,3932222,0,0,1,0.225,0.225,0.00035156,0
1,6881379,0,0,1,0.226,0.226,0.00035313,0
1,6619244,0,0,1,0.227,0.227,0.00035469,0
1,6488096,0,0,1,0.228,0.228,0.00035625,0
1,3997816,0,0,1,0.229,0.229,0.00035781,0
1,3407918,0,0,1,0.23,0.23,0.00035938,0
1,2228277,0,0,1,0.231,0.231,0.00036094,0
1,6488096,0,240,1,0.232,0.232,0.0003625,0
1,3342370,0,240,1,0.233,0.233,0.00036406,0
1,3342370,0,240,1,0.234,0.234,0.00036562,0
1,3407929,0,0,1,0.235,0.235,0.00036719,0
1,3997810,0,0,1,0.236,0.236,0.00036875,0
1,3997810,0,0,1,0.237,0.237,0.00037031,0
1,3407918,0,39,1,0.238,0.238,0.00037188,0
1,2228277,0,0,1,0.239,0.239,0.00037344,0
1,7536672,0,0,1,0.24,0.24,0.000375,0
1,6619244,0,5,1,0.241,0.241,0.00037656,0
1,2228285,0,0,1,0.242,0.242,0.00037812,0
1,6881382,0,0,1,0.243,0.243,0.00037969,0
1,2293818,0,240,1,0.244,0.244,0.00038125,0
1,3604577,0,141,1,0.245,0.245,0.00038281,0
1,3276900,0,240,1,0.246,0.246,0.00038437,0
1,3080226,0,0,1,0.247,0.247,0.00038594,0
1,3080226,0,0,1,0.248,0.248,0.0003875,0
1,6357104,256,0,1,0.249,0.249,0.00038906,0
1,6815860,0,0,1,0.25,0.25,0.00039063,0
1,6553632,0,46,1,0.251,0.251,0.00039219,0
1,3604557,0,0,1,0.252,0.252,0.00039375,0
1,3407918,0,0,1,0.253,0.253,0.00039531,0
1,2883637,110560608,12,1,0.254,0.254,0.00039687,0
1,3473454,60,0,1,0.255,0.255,0.00039844,0
1,4259889,0,0,1,0.256,0.256,0.0004,0
1,3014709,224,3,1,0.257,0.257,0.00040156,0
1,3473452,80,0,1,0.258,0.258,0.00040313,0
1,3473454,0,0,1,0.259,0.259,0.00040469,0
1,2883640,182364960,0,1,0.26,0.26,0.00040625,0
1,2883633,393984,0,1,0.261,0.261,0.00040781,0
1,2883633,393984,0,1,0.262,0.262,0.00040938,0
1,3342385,520093699,196,1,0.263,0.263,0.00041094,0
1,3342380,525056,135,1,0.264,0.264,0.0004125,0
1,3014704,369110533,225,1,0.265,0.265,0.00041406,0
1,3473452,301992725,198,1,0.266,0.266,0.00041562,0
1,3473454,805306372,147,1,0.267,0.267,0.00041719,0
1,2883640,875770417,66,1,0.268,0.268,0.00041875,0
1,3670069,536882745,0,1,0.269,0.269,0.00042031,0
1,3145772,131840,115,1,0.27,0.27,0.00042188,0
1,3145772,3,25,1,0.271,0.271,0.00042344,0
1,3604524,1408,0,1,0.272,0.272,0.000425,0
1,3604524,1408,0,1,0.273,0.273,0.00042656,0
0.99999,2883637,225,0,1,0.274,0.274,0.00042813,0
0.99999,3473454,182365968,53,1,0.275,0.275,0.00042969,0
0.99999,3473454,182365968,53,1,0.276,0.276,0.00043125,0
0.99998,3145837,110561024,0,1,0.277,0.277,0.00043281,0
0.99998,3670061,0,0,1,0.278,0.278,0.00043437,0
0.99997,3670062,0,9,1,0.279,0.279,0.00043594,0
0.99996,3014707,0,0,1,0.28,0.28,0.0004375,0
0.99995,3276851,0,0,1,0.281,0.281,0.00043906,0
0.99993,3342380,0,0,1,0.282,0.282,0.00044063,0
0.99991,2883634,0,203,1,0.283,0.283,0.00044219,0
0.99988,2883632,0,166,1,0.284,0.284,0.00044375,0
0.99984,2883633,0,13,1,0.285,0.285,0.00044531,0
0.9998,3014707,0,0,1,0.286,0.286,0.00044687,0
0.99974,3014707,0,0,1,0.287,0.287,0.00044844,0
0.99967,3342380,0,0,1,0.288,0.288,0.00045,0
0.99958,3342382,0,0,1,0.289,0.289,0.00045156,0
0.99947,4259890,0,0,1,0.29,0.29,0.00045312,0
0.99934,3276851,0,0,1,0.291,0.291,0.00045469,0
0.99919,3342380,0,0,1,0.292,0.292,0.00045625,0
0.999,3342382,0,0,1,0.293,0.293,0.00045781,0
0.99879,2883632,0,0,1,0.294,0.294,0.00045938,0
0.99853,2883632,0,115,1,0.295,0.295,0.00046094,0
0.99822,2883632,0,25,1,0.296,0.296,0.0004625,0
0.99789,3473460,0,0,1,0.297,0.297,0.00046406,0
